Path,Name,Expression,Age
/home/abdullah/Desktop/zip/MLProject/dataset/Kwon_Yang-sook_0002.jpg,Unknown,Not Smiling,75
/home/abdullah/Desktop/zip/MLProject/mydatset/WhatsApp Image 2023-02-21 at 9.23.48 PM (1).jpeg,Me,Not Smiling,20.0
/home/abdullah/Desktop/zip/MLProject/dataset/Dale_Earnhardt_0001.jpg,Unknown,Not Smiling,49
/home/abdullah/Desktop/zip/MLProject/dataset/Ali_Naimi_0008.jpg,Unknown,Smiling,87
/home/abdullah/Desktop/zip/MLProject/dataset/Lily_Tomlin_0001.jpg,Unknown,Not Smiling,83
/home/abdullah/Desktop/zip/MLProject/mydatset/WhatsApp Image 2023-02-21 at 9.26.24 PM.jpeg,Me,Smiling,20.0
/home/abdullah/Desktop/zip/MLProject/mydatset/WhatsApp Image 2023-02-21 at 9.26.23 PM (1).jpeg,Me,Not Smiling,20.0
/home/abdullah/Desktop/zip/MLProject/dataset/Lionel_Chalmers_0001.jpg,Unknown,Not Smiling,42
/home/abdullah/Desktop/zip/MLProject/dataset/Lily_Tomlin_0002.jpg,Unknown,Smiling,83
/home/abdullah/Desktop/zip/MLProject/mydatset/WhatsApp Image 2023-02-21 at 9.23.48 PM.jpeg,Me,Not Smiling,20.0
/home/abdullah/Desktop/zip/MLProject/mydatset/WhatsApp Image 2023-02-21 at 9.26.23 PM.jpeg,Me,Not Smiling,20.0
/home/abdullah/Desktop/zip/MLProject/mydatset/WhatsApp Image 2023-02-21 at 9.23.44 PM (1).jpeg,Me,Not Smiling,20.0
/home/abdullah/Desktop/zip/MLProject/mydatset/WhatsApp Image 2023-02-21 at 9.23.39 PM (2).jpeg,Me,Not Smiling,20.0
/home/abdullah/Desktop/zip/MLProject/mydatset/WhatsApp Image 2023-02-21 at 9.26.22 PM.jpeg,Me,Smiling,20.0
/home/abdullah/Desktop/zip/MLProject/dataset/Juanes_0003.jpg,Unknown,Not Smiling,50
/home/abdullah/Desktop/zip/MLProject/mydatset/WhatsApp Image 2023-02-21 at 9.24.16 PM.jpeg,Me,Not Smiling,20.0
/home/abdullah/Desktop/zip/MLProject/mydatset/WhatsApp Image 2023-02-21 at 9.24.23 PM.jpeg,Me,Not Smiling,20.0
/home/abdullah/Desktop/zip/MLProject/mydatset/WhatsApp Image 2023-02-21 at 9.26.22 PM (1).jpeg,Me,Not Smiling,20.0
/home/abdullah/Desktop/zip/MLProject/mydatset/WhatsApp Image 2023-02-21 at 9.23.45 PM (1).jpeg,Me,Not Smiling,20.0
/home/abdullah/Desktop/zip/MLProject/dataset/Priyanka_Chopra_0001.jpg,Unknown,Not Smiling,40
/home/abdullah/Desktop/zip/MLProject/dataset/Eddie_Fenech_Adami_0001.jpg,Unknown,Not Smiling,89
/home/abdullah/Desktop/zip/MLProject/mydatset/WhatsApp Image 2023-02-21 at 9.24.18 PM (1).jpeg,Me,Not Smiling,20.0
/home/abdullah/Desktop/zip/MLProject/dataset/Bernard_Siegel_0001.jpg,Unknown,Smiling,72
/home/abdullah/Desktop/zip/MLProject/dataset/Ali_Naimi_0004.jpg,Unknown,Not Smiling,87
/home/abdullah/Desktop/zip/MLProject/dataset/Mark_Broxmeyer_0001.jpg,Unknown,Not Smiling,61
/home/abdullah/Desktop/zip/MLProject/dataset/Elisabeth_Welch_0001.jpg,Unknown,Smiling,99
/home/abdullah/Desktop/zip/MLProject/mydatset/WhatsApp Image 2023-02-21 at 9.23.43 PM (1).jpeg,Me,Not Smiling,20.0
/home/abdullah/Desktop/zip/MLProject/dataset/Ali_Naimi_0005.jpg,Unknown,Not Smiling,87
/home/abdullah/Desktop/zip/MLProject/dataset/Brooke_Shields_0001.jpg,Unknown,Smiling,57
/home/abdullah/Desktop/zip/MLProject/dataset/Kwon_Yang-sook_0003.jpg,Unknown,Not Smiling,75
/home/abdullah/Desktop/zip/MLProject/dataset/Gary_Gero_0001.jpg,Unknown,Not Smiling,77
/home/abdullah/Desktop/zip/MLProject/dataset/Bulent_Ecevit_0005.jpg,Unknown,Not Smiling,81
/home/abdullah/Desktop/zip/MLProject/dataset/Hitomi_Soga_0002.jpg,Unknown,Not Smiling,63
/home/abdullah/Desktop/zip/MLProject/dataset/Marie_Haghal_0001.jpg,Unknown,Smiling,55
/home/abdullah/Desktop/zip/MLProject/dataset/Brad_Russ_0001.jpg,Unknown,Not Smiling,33
/home/abdullah/Desktop/zip/MLProject/mydatset/WhatsApp Image 2023-02-21 at 9.26.15 PM.jpeg,Me,Not Smiling,20.0
/home/abdullah/Desktop/zip/MLProject/dataset/Nikki_Teasley_0001.jpg,Unknown,Not Smiling,43
/home/abdullah/Desktop/zip/MLProject/dataset/Hitomi_Soga_0003.jpg,Unknown,Not Smiling,63
/home/abdullah/Desktop/zip/MLProject/dataset/Bulent_Ecevit_0001.jpg,Unknown,Not Smiling,81
/home/abdullah/Desktop/zip/MLProject/mydatset/WhatsApp Image 2023-02-21 at 9.26.18 PM.jpeg,Me,Smiling,20.0
/home/abdullah/Desktop/zip/MLProject/dataset/John_Scarlett_0001.jpg,Unknown,Not Smiling,74
/home/abdullah/Desktop/zip/MLProject/mydatset/WhatsApp Image 2023-02-21 at 9.23.42 PM.jpeg,Me,Smiling,20.0
/home/abdullah/Desktop/zip/MLProject/dataset/Brandon_Larson_0001.jpg,Unknown,Not Smiling,46
/home/abdullah/Desktop/zip/MLProject/dataset/Cecilia_Chang_0001.jpg,Unknown,Not Smiling,100
/home/abdullah/Desktop/zip/MLProject/dataset/Dimitri_Perricos_0001.jpg,Unknown,Not Smiling,40
