Path,Name,Expression,Age
/home/schneider/Desktop/MLProject/mydatset/WhatsApp Image 2023-02-21 at 9.23.40 PM (2).jpeg,Me,Not Smiling,20.0
/home/schneider/Desktop/MLProject/dataset/Lionel_Chalmers_0001.jpg,Unknown,Not Smiling,
/home/schneider/Desktop/MLProject/mydatset/WhatsApp Image 2023-02-21 at 9.23.42 PM (2).jpeg,Me,Smiling,20.0
/home/schneider/Desktop/MLProject/dataset/Jason_Statham_0001.jpg,Unknown,Not Smiling,
/home/schneider/Desktop/MLProject/mydatset/WhatsApp Image 2023-02-21 at 9.26.16 PM.jpeg,Me,Not Smiling,20.0
/home/schneider/Desktop/MLProject/mydatset/WhatsApp Image 2023-02-21 at 9.26.17 PM.jpeg,Me,Not Smiling,20.0
/home/schneider/Desktop/MLProject/dataset/Bulent_Ecevit_0005.jpg,Unknown,Not Smiling,
/home/schneider/Desktop/MLProject/dataset/Kwon_Yang-sook_0001.jpg,Unknown,Not Smiling,
/home/schneider/Desktop/MLProject/dataset/Charles_Holzner_0001.jpg,Unknown,Not Smiling,
/home/schneider/Desktop/MLProject/dataset/Hitomi_Soga_0003.jpg,Unknown,Not Smiling,
/home/schneider/Desktop/MLProject/mydatset/WhatsApp Image 2023-02-21 at 9.26.23 PM.jpeg,Me,Not Smiling,20.0
/home/schneider/Desktop/MLProject/dataset/Brad_Russ_0001.jpg,Unknown,Not Smiling,
/home/schneider/Desktop/MLProject/mydatset/WhatsApp Image 2023-02-21 at 9.24.20 PM (1).jpeg,Me,Not Smiling,20.0
/home/schneider/Desktop/MLProject/dataset/Cristiano_da_Matta_0001.jpg,Unknown,Not Smiling,
/home/schneider/Desktop/MLProject/dataset/Jack_Smith_0001.jpg,Unknown,Smiling,
/home/schneider/Desktop/MLProject/mydatset/WhatsApp Image 2023-02-21 at 9.26.20 PM (1).jpeg,Me,Smiling,20.0
/home/schneider/Desktop/MLProject/dataset/Hitomi_Soga_0005.jpg,Unknown,Not Smiling,
/home/schneider/Desktop/MLProject/dataset/Alanis_Morissette_0001.jpg,Unknown,Not Smiling,
/home/schneider/Desktop/MLProject/mydatset/WhatsApp Image 2023-02-21 at 9.23.48 PM.jpeg,Me,Not Smiling,20.0
/home/schneider/Desktop/MLProject/dataset/Ali_Naimi_0001.jpg,Unknown,Not Smiling,
/home/schneider/Desktop/MLProject/mydatset/WhatsApp Image 2023-02-21 at 9.26.21 PM.jpeg,Me,Not Smiling,20.0
/home/schneider/Desktop/MLProject/mydatset/WhatsApp Image 2023-02-21 at 9.26.15 PM.jpeg,Me,Not Smiling,20.0
/home/schneider/Desktop/MLProject/mydatset/WhatsApp Image 2023-02-21 at 9.23.43 PM (1).jpeg,Me,Not Smiling,20.0
/home/schneider/Desktop/MLProject/dataset/Bernard_Siegel_0001.jpg,Unknown,Not Smiling,
/home/schneider/Desktop/MLProject/mydatset/WhatsApp Image 2023-02-21 at 9.26.17 PM (1).jpeg,Me,Not Smiling,20.0
/home/schneider/Desktop/MLProject/dataset/Juanes_0003.jpg,Unknown,Not Smiling,
/home/schneider/Desktop/MLProject/dataset/Marie_Haghal_0001.jpg,Unknown,Smiling,
/home/schneider/Desktop/MLProject/dataset/Malak_Habbak_0001.jpg,Unknown,Not Smiling,
/home/schneider/Desktop/MLProject/mydatset/WhatsApp Image 2023-02-21 at 9.26.14 PM (1).jpeg,Me,Not Smiling,20.0
/home/schneider/Desktop/MLProject/mydatset/WhatsApp Image 2023-02-21 at 9.26.18 PM.jpeg,Me,Smiling,20.0
/home/schneider/Desktop/MLProject/dataset/Franco_Cangele_0001.jpg,Unknown,Not Smiling,
/home/schneider/Desktop/MLProject/mydatset/WhatsApp Image 2023-02-21 at 9.26.20 PM.jpeg,Me,Not Smiling,20.0
/home/schneider/Desktop/MLProject/mydatset/WhatsApp Image 2023-02-21 at 9.23.43 PM.jpeg,Me,Not Smiling,20.0
/home/schneider/Desktop/MLProject/dataset/Dimitri_Perricos_0001.jpg,Unknown,Not Smiling,
/home/schneider/Desktop/MLProject/dataset/Hitomi_Soga_0001.jpg,Unknown,Not Smiling,
/home/schneider/Desktop/MLProject/mydatset/WhatsApp Image 2023-02-21 at 9.23.39 PM (2).jpeg,Me,Not Smiling,20.0
/home/schneider/Desktop/MLProject/mydatset/WhatsApp Image 2023-02-21 at 9.26.18 PM (1).jpeg,Me,Not Smiling,20.0
/home/schneider/Desktop/MLProject/mydatset/WhatsApp Image 2023-02-21 at 9.26.19 PM (1).jpeg,Me,Not Smiling,20.0
/home/schneider/Desktop/MLProject/dataset/Karin_Pilsaeter_0001.jpg,Unknown,Not Smiling,
/home/schneider/Desktop/MLProject/mydatset/WhatsApp Image 2023-02-21 at 9.26.14 PM.jpeg,Me,Not Smiling,20.0
/home/schneider/Desktop/MLProject/dataset/Lorne_Michaels_0001.jpg,Unknown,Not Smiling,
/home/schneider/Desktop/MLProject/mydatset/WhatsApp Image 2023-02-21 at 9.23.51 PM.jpeg,Me,Not Smiling,20.0
/home/schneider/Desktop/MLProject/dataset/Ali_Naimi_0008.jpg,Unknown,Smiling,
